e1,e2,e3,e4,e5
0.93,0.24,0.46,0.02,0.42
0.03,0.76,0.99,0.47,0.62
0.42,0.23,0.30,0.86,0.33
0.91,0.82,0.74,0.44,0.41
0.26,0.49,0.43,0.80,0.66
0.51,0.47,0.00,0.22,0.78
0.61,0.60,0.80,0.33,0.24
0.88,0.23,0.72,0.45,0.30
0.57,0.56,0.56,0.96,0.50
0.87,0.88,0.09,0.99,0.41
0.95,0.72,0.86,0.44,0.62
0.25,0.78,0.23,0.35,0.71
0.42,0.47,0.06,0.30,0.77
0.01,0.25,0.42,0.46,0.90
0.91,0.06,0.34,0.80,0.87
0.31,0.47,0.09,0.97,0.81
0.28,0.18,0.12,0.75,0.81
0.07,0.90,0.17,0.73,0.10
0.90,0.33,0.48,0.27,0.87
0.56,0.76,0.61,0.87,0.42
0.50,0.79,0.97,0.48,0.93
0.18,0.95,0.38,0.01,0.76
0.93,0.30,0.54,0.01,0.91
0.25,0.96,0.26,0.72,0.41
0.51,0.66,0.94,0.50,0.26
0.08,0.91,0.91,0.10,0.67
0.24,0.60,0.94,0.37,0.31
0.11,0.43,0.19,0.29,0.56
0.37,0.34,0.70,0.91,0.83
0.58,0.73,0.52,0.95,0.34
0.34,0.26,0.88,0.91,0.30
0.78,0.80,0.64,0.84,0.25
0.90,0.77,0.73,0.55,0.55
0.31,0.29,0.90,0.12,0.07
0.69,0.25,0.37,0.51,0.43
0.25,0.53,0.45,0.45,0.68
0.80,0.10,0.96,0.92,0.46
0.55,0.20,0.22,0.92,0.16
0.46,0.98,0.87,0.70,0.90
0.67,0.06,0.11,0.74,0.51
0.31,0.96,0.66,0.78,0.56
0.32,0.14,0.37,0.80,0.79
0.89,0.71,0.18,0.63,0.04
0.29,0.06,0.35,0.28,0.94
0.55,0.27,0.28,0.69,0.30
0.37,0.96,0.91,0.94,0.90
0.98,0.29,0.03,0.67,0.29
0.33,0.44,0.50,0.70,0.51
0.48,0.01,0.80,0.78,0.12
0.62,0.76,0.13,0.07,0.31
0.26,0.53,0.83,0.54,0.45
0.19,0.24,0.86,0.09,0.02
0.97,0.32,0.57,0.60,0.43
0.53,0.64,0.21,0.10,0.95
0.77,0.62,0.01,0.36,0.68
0.62,0.75,0.74,0.56,0.37
0.67,0.17,0.68,0.72,0.50
0.36,0.69,0.46,0.12,0.01
0.85,0.95,0.35,0.59,0.63
0.85,0.67,0.09,0.38,0.68
0.71,0.61,0.35,0.06,0.06
0.59,0.34,0.17,0.11,0.91
0.63,0.35,0.99,0.93,0.17
0.83,0.95,0.66,0.55,0.67
0.72,0.25,0.00,0.64,0.62
0.50,0.83,0.53,0.44,0.63
0.60,0.26,0.82,0.37,0.75
0.98,0.18,0.27,0.76,0.02
0.66,0.84,0.11,0.55,0.80
0.82,0.18,0.90,0.06,0.81
0.59,0.84,0.17,0.63,0.67
0.44,0.37,0.83,0.64,0.71
0.13,0.18,0.88,0.58,0.77
0.95,0.79,0.63,0.06,0.38
0.62,0.84,0.39,0.48,0.79
0.98,0.40,0.96,0.19,0.16
0.31,0.31,0.73,0.34,0.87
0.41,0.84,0.12,0.28,0.02
0.66,0.48,0.04,0.02,0.36
0.43,0.27,0.20,0.56,0.32
0.95,0.80,0.04,0.89,0.19
0.67,0.20,0.00,0.76,0.47
0.80,0.28,0.20,0.61,0.12
0.80,0.57,0.87,0.84,0.73
0.39,0.65,0.56,0.52,0.05
0.46,0.32,0.60,0.07,0.18
0.23,0.76,0.16,0.64,0.28
0.67,0.69,0.73,0.62,0.56
0.79,0.32,0.05,0.32,0.53
0.74,0.19,0.59,0.16,0.36
0.20,0.68,0.13,0.11,0.13
0.59,0.86,0.38,0.69,0.74
0.32,0.20,0.45,0.16,0.18
0.81,0.44,0.47,0.04,0.36
0.76,0.32,0.34,0.76,0.08
0.17,0.86,0.49,0.81,0.73
0.65,0.10,0.97,0.08,0.22
0.50,0.94,0.23,0.70,0.69
0.90,0.88,0.62,0.11,0.96
0.21,0.03,0.85,0.27,0.28
