e1 m-,e1 m+,e1 n-,e1 n+,e1 h-,e1 h+,e2 m-,e2 m+,e2 n-,e2 n+,e2 h-,e2 h+,e3 m-,e3 m+,e3 n-,e3 n+,e3 h-,e3 h+,e4 m-,e4 m+,e4 n-,e4 n+,e4 h-,e4 h+,e5 m-,e5 m+,e5 n-,e5 n+,e5 h-,e5 h+,e6 m-,e6 m+,e6 n-,e6 n+,e6 h-,e6 h+
0.90,0.96,0.03,0.08,-0.039999999999999966,0.06999999999999998,0.07,0.25,0.74,0.92,-0.17000000000000004,0.18999999999999995,0.25,0.99,0.01,0.69,-0.6799999999999999,0.74,0.40,0.85,0.03,0.47,-0.31999999999999995,0.57,0.68,0.84,0.08,0.13,0.030000000000000027,0.23999999999999994,0.97,0.97,0.01,0.02,0.010000000000000026,0.020000000000000025
0.97,0.98,0.01,0.02,1.734723475976807e-17,0.020000000000000025,0.47,0.65,0.03,0.46,-0.11000000000000004,0.5,0.32,0.96,0.03,0.48,-0.43999999999999995,0.6499999999999999,0.14,0.45,0.07,0.73,-0.17999999999999994,0.79,0.95,0.99,0.00,0.03,-0.01999999999999999,0.050000000000000044,0.01,0.16,0.62,0.88,-0.040000000000000036,0.37
0.92,0.99,0.00,0.01,8.673617379884035e-18,0.07999999999999996,0.99,0.99,0.01,0.01,8.673617379884035e-18,8.673617379884035e-18,0.69,0.98,0.01,0.26,-0.24,0.30000000000000004,0.57,0.96,0.02,0.28,-0.24,0.41000000000000003,0.49,0.81,0.08,0.24,-0.050000000000000044,0.43,0.54,0.66,0.33,0.37,-0.030000000000000027,0.12999999999999995
0.38,0.77,0.07,0.45,-0.22000000000000003,0.55,0.53,0.88,0.07,0.08,0.039999999999999994,0.39999999999999997,0.24,0.90,0.00,0.72,-0.62,0.76,0.85,0.92,0.04,0.05,0.029999999999999957,0.11000000000000001,0.77,0.77,0.20,0.23,-2.7755575615628914e-17,0.02999999999999997,0.50,0.74,0.21,0.38,-0.12,0.29000000000000004
0.55,0.78,0.01,0.28,-0.06000000000000005,0.43999999999999995,0.20,0.37,0.37,0.46,0.16999999999999998,0.43000000000000005,0.60,0.92,0.04,0.24,-0.16000000000000003,0.36000000000000004,0.18,0.62,0.06,0.49,-0.10999999999999999,0.76,0.67,0.89,0.10,0.21,-0.1,0.22999999999999995,0.29,0.79,0.13,0.21,-2.7755575615628914e-17,0.58
0.95,0.95,0.05,0.05,4.163336342344337e-17,4.163336342344337e-17,0.66,0.99,0.01,0.25,-0.24,0.32999999999999996,0.61,0.83,0.13,0.37,-0.19999999999999996,0.26,0.57,0.97,0.00,0.35,-0.31999999999999995,0.43000000000000005,0.85,0.95,0.03,0.11,-0.059999999999999956,0.12000000000000002,0.90,0.93,0.05,0.07,-5.551115123125783e-17,0.049999999999999975
0.07,0.53,0.30,0.88,-0.41000000000000003,0.6299999999999999,0.41,0.57,0.37,0.51,-0.07999999999999996,0.22000000000000008,0.61,0.92,0.03,0.12,-0.040000000000000036,0.36,0.74,0.77,0.08,0.12,0.10999999999999999,0.18,0.43,0.61,0.16,0.25,0.14,0.41000000000000003,0.07,0.48,0.43,0.48,0.040000000000000036,0.49999999999999994
0.25,0.83,0.16,0.70,-0.5299999999999999,0.59,0.01,0.26,0.43,0.56,0.17999999999999994,0.56,0.73,0.90,0.09,0.12,-0.020000000000000018,0.18000000000000002,0.52,1.00,0.00,0.38,-0.38,0.48,0.84,0.87,0.01,0.15,-0.01999999999999999,0.15000000000000002,0.13,0.22,0.19,0.38,0.4,0.6799999999999999
0.73,0.75,0.16,0.20,0.04999999999999999,0.11000000000000001,0.42,0.43,0.15,0.47,0.10000000000000009,0.43000000000000005,0.27,0.86,0.07,0.50,-0.36,0.6599999999999999,0.66,0.93,0.02,0.30,-0.23000000000000004,0.31999999999999995,0.58,0.60,0.21,0.28,0.12,0.21000000000000005,0.72,0.89,0.02,0.13,-0.020000000000000018,0.26
0.66,0.93,0.04,0.11,-0.04000000000000005,0.3,0.16,0.37,0.17,0.46,0.16999999999999998,0.6699999999999999,0.82,0.88,0.09,0.14,-0.020000000000000018,0.09000000000000005,0.67,0.95,0.04,0.16,-0.10999999999999996,0.29,0.59,0.90,0.08,0.27,-0.17000000000000004,0.33,0.39,0.91,0.05,0.14,-0.050000000000000044,0.5599999999999999
0.35,0.48,0.03,0.22,0.30000000000000004,0.62,0.91,0.98,0.01,0.03,-0.009999999999999981,0.07999999999999997,0.62,0.91,0.05,0.24,-0.15000000000000002,0.33,0.63,1.00,0.00,0.23,-0.23,0.37,0.74,0.99,0.01,0.18,-0.16999999999999998,0.25,0.48,0.87,0.10,0.14,-0.010000000000000009,0.42000000000000004
0.10,0.71,0.28,0.42,-0.12999999999999995,0.62,0.43,0.88,0.09,0.54,-0.42000000000000004,0.4800000000000001,0.37,0.78,0.12,0.13,0.08999999999999997,0.51,0.10,0.91,0.01,0.68,-0.5900000000000001,0.89,0.94,0.99,0.00,0.00,0.010000000000000009,0.06000000000000005,0.76,0.76,0.11,0.13,0.10999999999999999,0.13
0.49,0.63,0.35,0.41,-0.03999999999999998,0.16000000000000003,0.04,0.08,0.73,0.77,0.15000000000000002,0.22999999999999998,0.46,0.57,0.43,0.46,-0.02999999999999997,0.11000000000000004,0.37,0.91,0.05,0.54,-0.45000000000000007,0.58,0.53,0.55,0.16,0.44,0.009999999999999953,0.30999999999999994,0.58,0.69,0.03,0.10,0.21000000000000005,0.39
0.79,0.91,0.00,0.12,-0.030000000000000027,0.20999999999999996,0.58,0.75,0.01,0.14,0.10999999999999999,0.41000000000000003,0.78,0.79,0.04,0.05,0.15999999999999998,0.17999999999999997,0.48,0.96,0.04,0.23,-0.18999999999999997,0.48000000000000004,0.98,0.98,0.01,0.02,1.734723475976807e-17,0.010000000000000018,0.76,0.81,0.12,0.16,0.029999999999999943,0.12
0.79,0.90,0.09,0.11,-0.010000000000000023,0.11999999999999997,0.43,0.69,0.24,0.55,-0.24,0.33000000000000007,0.35,0.46,0.16,0.65,-0.10999999999999999,0.49,0.64,0.94,0.02,0.27,-0.20999999999999996,0.33999999999999997,0.61,0.89,0.04,0.22,-0.11000000000000001,0.35000000000000003,0.61,0.82,0.02,0.26,-0.07999999999999996,0.37
0.30,0.99,0.01,0.54,-0.53,0.69,0.76,0.78,0.01,0.15,0.06999999999999998,0.22999999999999998,0.60,0.68,0.08,0.13,0.18999999999999995,0.32,0.59,0.80,0.00,0.26,-0.06000000000000005,0.41000000000000003,0.72,0.77,0.05,0.16,0.06999999999999998,0.23000000000000004,0.44,0.72,0.09,0.51,-0.22999999999999998,0.4700000000000001
0.82,0.92,0.05,0.11,-0.03000000000000004,0.13000000000000006,0.72,0.77,0.03,0.16,0.06999999999999998,0.25,0.68,0.69,0.25,0.26,0.050000000000000044,0.06999999999999995,0.32,0.86,0.02,0.60,-0.45999999999999996,0.6599999999999999,0.33,0.34,0.16,0.40,0.2599999999999999,0.5099999999999999,0.66,0.88,0.07,0.23,-0.11000000000000001,0.26999999999999996
0.53,0.91,0.07,0.07,0.019999999999999962,0.39999999999999997,0.93,1.00,0.00,0.05,-0.05,0.06999999999999995,0.94,0.98,0.01,0.04,-0.019999999999999983,0.05000000000000005,0.30,0.51,0.34,0.56,-0.07000000000000006,0.35999999999999993,0.64,0.71,0.17,0.20,0.09000000000000002,0.18999999999999997,0.10,0.75,0.07,0.47,-0.21999999999999997,0.8300000000000001
0.57,0.87,0.11,0.36,-0.22999999999999998,0.32000000000000006,0.34,0.58,0.16,0.64,-0.21999999999999997,0.4999999999999999,0.75,0.83,0.01,0.14,0.030000000000000027,0.24,0.42,0.72,0.20,0.45,-0.16999999999999998,0.38000000000000006,0.37,0.70,0.23,0.39,-0.08999999999999997,0.4,0.37,0.92,0.02,0.16,-0.08000000000000004,0.61
0.12,0.20,0.32,0.41,0.39000000000000007,0.56,0.46,0.74,0.07,0.18,0.08000000000000002,0.47000000000000003,0.44,0.80,0.19,0.55,-0.3500000000000001,0.37000000000000005,0.78,0.96,0.04,0.22,-0.17999999999999997,0.17999999999999997,0.81,0.94,0.01,0.07,-0.009999999999999953,0.17999999999999994,0.57,0.65,0.15,0.34,0.009999999999999953,0.28
0.76,0.84,0.08,0.17,-0.009999999999999981,0.15999999999999998,0.49,0.88,0.06,0.49,-0.37,0.45,0.67,0.91,0.05,0.19,-0.10000000000000003,0.27999999999999997,0.70,0.92,0.01,0.22,-0.14000000000000004,0.29000000000000004,0.46,0.47,0.21,0.44,0.09000000000000002,0.33000000000000007,0.14,0.17,0.21,0.56,0.2699999999999999,0.65
0.93,1.00,0.00,0.03,-0.03,0.06999999999999995,0.79,0.87,0.11,0.13,0.0,0.09999999999999996,0.78,0.95,0.02,0.13,-0.07999999999999996,0.19999999999999998,0.97,0.98,0.01,0.01,0.010000000000000018,0.020000000000000025,0.75,0.77,0.12,0.12,0.10999999999999999,0.13,0.41,0.63,0.07,0.51,-0.14,0.52
0.49,0.76,0.12,0.37,-0.13,0.39,0.66,0.76,0.04,0.27,-0.030000000000000027,0.3,0.07,0.56,0.41,0.91,-0.4700000000000001,0.52,0.57,0.98,0.01,0.18,-0.15999999999999998,0.42000000000000004,0.58,0.80,0.19,0.36,-0.16000000000000003,0.23000000000000004,0.82,0.87,0.03,0.08,0.05,0.15000000000000005
0.86,0.94,0.04,0.13,-0.06999999999999995,0.1,0.49,0.86,0.12,0.25,-0.10999999999999999,0.39,0.31,0.44,0.46,0.68,-0.12,0.22999999999999993,0.11,0.99,0.00,0.28,-0.27,0.89,0.81,0.82,0.12,0.14,0.040000000000000036,0.06999999999999995,0.69,0.73,0.26,0.29,-0.019999999999999962,0.050000000000000044
0.32,0.65,0.33,0.56,-0.21000000000000008,0.3499999999999999,0.45,0.95,0.02,0.47,-0.41999999999999993,0.53,0.78,0.92,0.06,0.15,-0.07000000000000003,0.15999999999999998,0.17,0.80,0.06,0.63,-0.43000000000000005,0.77,0.54,0.82,0.01,0.31,-0.12999999999999995,0.44999999999999996,0.08,0.27,0.53,0.91,-0.18000000000000005,0.39
